"locus_name","accession","tissue","timepoint","expression_value","group"
"BRAA02G018970.3C","Ro18","apex",11,0.396873376934661,"Ro18-11-a"
"BRAA02G018970.3C","Ro18","apex",11,1.41477110131611,"Ro18-11-b"
"BRAA02G018970.3C","Ro18","apex",11,0.742398383441149,"Ro18-11-c"
"BRAA02G018970.3C","Ro18","apex",29,11.300700189194,"Ro18-29-a"
"BRAA02G018970.3C","Ro18","apex",29,23.2055663885932,"Ro18-29-b"
"BRAA02G018970.3C","Ro18","apex",29,22.0307747363949,"Ro18-29-c"
"BRAA02G018970.3C","Ro18","apex",31,28.2960494621665,"Ro18-31-a"
"BRAA02G018970.3C","Ro18","apex",31,23.5425417938456,"Ro18-31-b"
"BRAA02G018970.3C","Ro18","apex",31,22.9507633099328,"Ro18-31-c"
"BRAA02G018970.3C","Ro18","apex",33,19.7037097961596,"Ro18-33-a"
"BRAA02G018970.3C","Ro18","apex",33,21.4203691497537,"Ro18-33-b"
"BRAA02G018970.3C","Ro18","apex",33,18.7253333822347,"Ro18-33-c"
"BRAA02G018970.3C","Ro18","apex",35,19.2667657591771,"Ro18-35-a"
"BRAA02G018970.3C","Ro18","apex",35,27.0502798447147,"Ro18-35-b"
"BRAA02G018970.3C","Ro18","apex",35,21.2988390100727,"Ro18-35-c"
"BRAA02G018970.3C","Ro18","apex",13,6.01449377596318,"Ro18-13-a"
"BRAA02G018970.3C","Ro18","apex",13,6.29019731218412,"Ro18-13-b"
"BRAA02G018970.3C","Ro18","apex",13,6.43324645350487,"Ro18-13-c"
"BRAA02G018970.3C","Ro18","apex",15,0.555533115804609,"Ro18-15-a"
"BRAA02G018970.3C","Ro18","apex",15,0.630866907975143,"Ro18-15-b"
"BRAA02G018970.3C","Ro18","apex",15,0.558593185489127,"Ro18-15-c"
"BRAA02G018970.3C","Ro18","apex",17,12.0003833521976,"Ro18-17-a"
"BRAA02G018970.3C","Ro18","apex",17,6.4175331943956,"Ro18-17-b"
"BRAA02G018970.3C","Ro18","apex",17,7.65095536409749,"Ro18-17-c"
"BRAA02G018970.3C","Ro18","apex",19,2.57223560297022,"Ro18-19-a"
"BRAA02G018970.3C","Ro18","apex",19,9.27518398629764,"Ro18-19-b"
"BRAA02G018970.3C","Ro18","apex",19,3.82025329027109,"Ro18-19-c"
"BRAA02G018970.3C","Ro18","apex",21,1.96259938794003,"Ro18-21-a"
"BRAA02G018970.3C","Ro18","apex",21,3.93995072872843,"Ro18-21-b"
"BRAA02G018970.3C","Ro18","apex",21,5.21774508684943,"Ro18-21-c"
"BRAA02G018970.3C","Ro18","apex",23,15.3574900137659,"Ro18-23-a"
"BRAA02G018970.3C","Ro18","apex",23,21.9028181166371,"Ro18-23-b"
"BRAA02G018970.3C","Ro18","apex",23,23.1969625215667,"Ro18-23-c"
"BRAA02G018970.3C","Ro18","apex",25,7.04208054867844,"Ro18-25-a"
"BRAA02G018970.3C","Ro18","apex",25,14.5964891691742,"Ro18-25-b"
"BRAA02G018970.3C","Ro18","apex",25,16.1295269756334,"Ro18-25-c"
"BRAA02G018970.3C","Ro18","apex",27,22.2448627701023,"Ro18-27-a"
"BRAA02G018970.3C","Ro18","apex",27,20.9870041552395,"Ro18-27-b"
"BRAA02G018970.3C","Ro18","apex",27,26.0913282310319,"Ro18-27-c"
"BRAA02G043220.3C","Ro18","apex",11,3.47264204817829,"Ro18-11-a"
"BRAA02G043220.3C","Ro18","apex",11,5.23766322614899,"Ro18-11-b"
"BRAA02G043220.3C","Ro18","apex",11,6.26196897337317,"Ro18-11-c"
"BRAA02G043220.3C","Ro18","apex",29,19.7020953735803,"Ro18-29-a"
"BRAA02G043220.3C","Ro18","apex",29,28.5654635651307,"Ro18-29-b"
"BRAA02G043220.3C","Ro18","apex",29,37.3238303144329,"Ro18-29-c"
"BRAA02G043220.3C","Ro18","apex",31,35.2109327151909,"Ro18-31-a"
"BRAA02G043220.3C","Ro18","apex",31,51.5359123845375,"Ro18-31-b"
"BRAA02G043220.3C","Ro18","apex",31,21.3982877760027,"Ro18-31-c"
"BRAA02G043220.3C","Ro18","apex",33,5.1728736799944,"Ro18-33-a"
"BRAA02G043220.3C","Ro18","apex",33,13.9946411778391,"Ro18-33-b"
"BRAA02G043220.3C","Ro18","apex",33,12.675189116922,"Ro18-33-c"
"BRAA02G043220.3C","Ro18","apex",35,7.28575175767201,"Ro18-35-a"
"BRAA02G043220.3C","Ro18","apex",35,8.79517605537038,"Ro18-35-b"
"BRAA02G043220.3C","Ro18","apex",35,9.10748731689171,"Ro18-35-c"
"BRAA02G043220.3C","Ro18","apex",13,3.41599889217326,"Ro18-13-a"
"BRAA02G043220.3C","Ro18","apex",13,4.89237568725432,"Ro18-13-b"
"BRAA02G043220.3C","Ro18","apex",13,3.48221597024575,"Ro18-13-c"
"BRAA02G043220.3C","Ro18","apex",15,7.77746362126453,"Ro18-15-a"
"BRAA02G043220.3C","Ro18","apex",15,12.0127573726933,"Ro18-15-b"
"BRAA02G043220.3C","Ro18","apex",15,9.60780279041298,"Ro18-15-c"
"BRAA02G043220.3C","Ro18","apex",17,15.5480545231558,"Ro18-17-a"
"BRAA02G043220.3C","Ro18","apex",17,13.5847782105664,"Ro18-17-b"
"BRAA02G043220.3C","Ro18","apex",17,23.6701431576766,"Ro18-17-c"
"BRAA02G043220.3C","Ro18","apex",19,18.03740521589,"Ro18-19-a"
"BRAA02G043220.3C","Ro18","apex",19,26.6764141198826,"Ro18-19-b"
"BRAA02G043220.3C","Ro18","apex",19,11.9084458032669,"Ro18-19-c"
"BRAA02G043220.3C","Ro18","apex",21,9.91451070114533,"Ro18-21-a"
"BRAA02G043220.3C","Ro18","apex",21,16.1350363176498,"Ro18-21-b"
"BRAA02G043220.3C","Ro18","apex",21,18.1118585999014,"Ro18-21-c"
"BRAA02G043220.3C","Ro18","apex",23,26.0423820020669,"Ro18-23-a"
"BRAA02G043220.3C","Ro18","apex",23,49.3881837776365,"Ro18-23-b"
"BRAA02G043220.3C","Ro18","apex",23,35.5554582239398,"Ro18-23-c"
"BRAA02G043220.3C","Ro18","apex",25,29.9013342047401,"Ro18-25-a"
"BRAA02G043220.3C","Ro18","apex",25,37.2819741123846,"Ro18-25-b"
"BRAA02G043220.3C","Ro18","apex",25,31.7073397488809,"Ro18-25-c"
"BRAA02G043220.3C","Ro18","apex",27,21.0681823716838,"Ro18-27-a"
"BRAA02G043220.3C","Ro18","apex",27,21.2100065606671,"Ro18-27-b"
"BRAA02G043220.3C","Ro18","apex",27,23.1587944907793,"Ro18-27-c"
"BRAA03G023790.3C","Ro18","apex",11,1.98436688467331,"Ro18-11-a"
"BRAA03G023790.3C","Ro18","apex",11,1.47497412690403,"Ro18-11-b"
"BRAA03G023790.3C","Ro18","apex",11,2.19491695973905,"Ro18-11-c"
"BRAA03G023790.3C","Ro18","apex",29,113.797721438706,"Ro18-29-a"
"BRAA03G023790.3C","Ro18","apex",29,94.6502073660242,"Ro18-29-b"
"BRAA03G023790.3C","Ro18","apex",29,129.176178468592,"Ro18-29-c"
"BRAA03G023790.3C","Ro18","apex",31,77.0474230242837,"Ro18-31-a"
"BRAA03G023790.3C","Ro18","apex",31,177.593925347852,"Ro18-31-b"
"BRAA03G023790.3C","Ro18","apex",31,74.3118288907858,"Ro18-31-c"
"BRAA03G023790.3C","Ro18","apex",33,30.0234628160479,"Ro18-33-a"
"BRAA03G023790.3C","Ro18","apex",33,61.8204835703801,"Ro18-33-b"
"BRAA03G023790.3C","Ro18","apex",33,80.3765772079548,"Ro18-33-c"
"BRAA03G023790.3C","Ro18","apex",35,38.7416958542877,"Ro18-35-a"
"BRAA03G023790.3C","Ro18","apex",35,50.3165885958398,"Ro18-35-b"
"BRAA03G023790.3C","Ro18","apex",35,63.6947688934515,"Ro18-35-c"
"BRAA03G023790.3C","Ro18","apex",13,1.34304229948692,"Ro18-13-a"
"BRAA03G023790.3C","Ro18","apex",13,3.35477189983153,"Ro18-13-b"
"BRAA03G023790.3C","Ro18","apex",13,4.45605602972126,"Ro18-13-c"
"BRAA03G023790.3C","Ro18","apex",15,3.56194762486485,"Ro18-15-a"
"BRAA03G023790.3C","Ro18","apex",15,11.2767459800557,"Ro18-15-b"
"BRAA03G023790.3C","Ro18","apex",15,8.43475710088582,"Ro18-15-c"
"BRAA03G023790.3C","Ro18","apex",17,30.4791227557102,"Ro18-17-a"
"BRAA03G023790.3C","Ro18","apex",17,19.4025419475418,"Ro18-17-b"
"BRAA03G023790.3C","Ro18","apex",17,44.8962311295999,"Ro18-17-c"
"BRAA03G023790.3C","Ro18","apex",19,30.7080472601507,"Ro18-19-a"
"BRAA03G023790.3C","Ro18","apex",19,45.9928739851514,"Ro18-19-b"
"BRAA03G023790.3C","Ro18","apex",19,24.3541147254782,"Ro18-19-c"
"BRAA03G023790.3C","Ro18","apex",21,23.8895718600976,"Ro18-21-a"
"BRAA03G023790.3C","Ro18","apex",21,38.5552321311282,"Ro18-21-b"
"BRAA03G023790.3C","Ro18","apex",21,32.0713755600064,"Ro18-21-c"
"BRAA03G023790.3C","Ro18","apex",23,104.26755454027,"Ro18-23-a"
"BRAA03G023790.3C","Ro18","apex",23,124.819352511031,"Ro18-23-b"
"BRAA03G023790.3C","Ro18","apex",23,165.121398461921,"Ro18-23-c"
"BRAA03G023790.3C","Ro18","apex",25,87.3107955527554,"Ro18-25-a"
"BRAA03G023790.3C","Ro18","apex",25,115.034853363456,"Ro18-25-b"
"BRAA03G023790.3C","Ro18","apex",25,120.07897346045,"Ro18-25-c"
"BRAA03G023790.3C","Ro18","apex",27,108.758888253825,"Ro18-27-a"
"BRAA03G023790.3C","Ro18","apex",27,125.69902252601,"Ro18-27-b"
"BRAA03G023790.3C","Ro18","apex",27,115.574717594812,"Ro18-27-c"
"BRAA03G051930.3C","Ro18","apex",11,19.9428871909667,"Ro18-11-a"
"BRAA03G051930.3C","Ro18","apex",11,16.9170501902054,"Ro18-11-b"
"BRAA03G051930.3C","Ro18","apex",11,17.6238920590812,"Ro18-11-c"
"BRAA03G051930.3C","Ro18","apex",29,40.8538432495645,"Ro18-29-a"
"BRAA03G051930.3C","Ro18","apex",29,38.7895448845376,"Ro18-29-b"
"BRAA03G051930.3C","Ro18","apex",29,35.2555072239606,"Ro18-29-c"
"BRAA03G051930.3C","Ro18","apex",31,18.0828536951473,"Ro18-31-a"
"BRAA03G051930.3C","Ro18","apex",31,31.9756910931335,"Ro18-31-b"
"BRAA03G051930.3C","Ro18","apex",31,31.1012598630656,"Ro18-31-c"
"BRAA03G051930.3C","Ro18","apex",33,8.83807563416129,"Ro18-33-a"
"BRAA03G051930.3C","Ro18","apex",33,16.1236960509055,"Ro18-33-b"
"BRAA03G051930.3C","Ro18","apex",33,36.2461131550859,"Ro18-33-c"
"BRAA03G051930.3C","Ro18","apex",35,9.50617134096253,"Ro18-35-a"
"BRAA03G051930.3C","Ro18","apex",35,11.2496437917528,"Ro18-35-b"
"BRAA03G051930.3C","Ro18","apex",35,20.0883501894732,"Ro18-35-c"
"BRAA03G051930.3C","Ro18","apex",13,22.9193088064616,"Ro18-13-a"
"BRAA03G051930.3C","Ro18","apex",13,16.3265565791801,"Ro18-13-b"
"BRAA03G051930.3C","Ro18","apex",13,19.8309248475012,"Ro18-13-c"
"BRAA03G051930.3C","Ro18","apex",15,26.567554302891,"Ro18-15-a"
"BRAA03G051930.3C","Ro18","apex",15,23.8940841395585,"Ro18-15-b"
"BRAA03G051930.3C","Ro18","apex",15,30.0243837200406,"Ro18-15-c"
"BRAA03G051930.3C","Ro18","apex",17,30.0780816668192,"Ro18-17-a"
"BRAA03G051930.3C","Ro18","apex",17,38.0553720733085,"Ro18-17-b"
"BRAA03G051930.3C","Ro18","apex",17,47.3668521325897,"Ro18-17-c"
"BRAA03G051930.3C","Ro18","apex",19,50.3332522309606,"Ro18-19-a"
"BRAA03G051930.3C","Ro18","apex",19,44.9258174203561,"Ro18-19-b"
"BRAA03G051930.3C","Ro18","apex",19,39.814202259544,"Ro18-19-c"
"BRAA03G051930.3C","Ro18","apex",21,31.0293730817415,"Ro18-21-a"
"BRAA03G051930.3C","Ro18","apex",21,47.7797199483893,"Ro18-21-b"
"BRAA03G051930.3C","Ro18","apex",21,33.7104577862418,"Ro18-21-c"
"BRAA03G051930.3C","Ro18","apex",23,54.2413477081945,"Ro18-23-a"
"BRAA03G051930.3C","Ro18","apex",23,44.9274878929068,"Ro18-23-b"
"BRAA03G051930.3C","Ro18","apex",23,59.6776557178766,"Ro18-23-c"
"BRAA03G051930.3C","Ro18","apex",25,42.1149426563543,"Ro18-25-a"
"BRAA03G051930.3C","Ro18","apex",25,48.0673018110995,"Ro18-25-b"
"BRAA03G051930.3C","Ro18","apex",25,69.580897053839,"Ro18-25-c"
"BRAA03G051930.3C","Ro18","apex",27,31.7143383573751,"Ro18-27-a"
"BRAA03G051930.3C","Ro18","apex",27,31.393783075193,"Ro18-27-b"
"BRAA03G051930.3C","Ro18","apex",27,31.0519694178142,"Ro18-27-c"
"BRAA04G005470.3C","Ro18","apex",11,0.198436688467331,"Ro18-11-a"
"BRAA04G005470.3C","Ro18","apex",11,0.0602030255879194,"Ro18-11-b"
"BRAA04G005470.3C","Ro18","apex",11,0.0645563811687956,"Ro18-11-c"
"BRAA04G005470.3C","Ro18","apex",29,2.73457176589827,"Ro18-29-a"
